52,29-05-2020,"58/10 PRINCE ANWAR
SHAH RD 700045",93,10,Lake Garden,"The affected
flat/the
standalone house",14
53,29-05-2020,"77/2D IBRAHIMPORE
ROAD KOLKATA 700068",96,10,"Ibrahimpur
Road","The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
54,29-05-2020,"C 167 BAPUJI NAGAR
JADAVPUR 700092",96,10,Jadavpur,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
55,29-05-2020,"27/51 K.M Naskar Road,
Amrapali Apartment",97,10,Kudghat,"The affected
flat/the
standalone house",14
56,29-05-2020,GARFA KOLKATA 700078,104,11,Garfa,"The affected
flat/the
standalone house",14
57,29-05-2020,GARFA KOLKATA 700078,104,11,Garfa,"The affected
flat/the
standalone house",14
58,29-05-2020,GARFA KOLKATA 700078,104,11,Garfa,"The affected
flat/the
standalone house",14
59,29-05-2020,GARFA KOLKATA 700078,104,11,Garfa,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
60,29-05-2020,GARFA KOLKATA 700078,104,11,Garfa,"The affected
flat/the
standalone house",14
61,29-05-2020,"1st Purbanchal Lal
Bahadur Shastri Lane
JADAVPUR KOLKATA",106,12,Jadavpur,"The affected
flat/the
standalone house",14
62,29-05-2020,"37/2A S N Roy Road
Sahapur Behala, Kol - 38",118,13,Behala,"The affected
flat/the
standalone house",14
63,29-05-2020,"337/5A D H ROADFLAT-
D2 700034",119,13,Behala P.S,"The affected
flat/the
standalone house",14
64,29-05-2020,"331/204 PARNASHREE
Pally 700060",131,14,Parnasree,"The affected
flat/the
standalone house",14
65,29-05-2020,"I- 93/1 Rameshwarpur
road, Kol 24",135,15,Garden Reach,"The affected
flat/the
standalone house",14
66,29-05-2020,"5 1 JOY KULLA MOLLA
ROAD KOLKATA",125,16,Thakurpukur,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
67,29-05-2020,"REGENT PARK KOLKATA
700040",97,10,,"The affected
flat/the
standalone house",14
68,30-05-2020,"4C Kundu Lane P.S -
Ultadanga",3,1,Belgachia,"The affected
flat/the
standalone house",13
69,30-05-2020,"FLAT NO 2 C , SAJJAN
APPT , 8/1A UMA KANTA
SEN LAN P.S- CHITPUR ,
70030",4,1,Paikpara,The flat itself,13
70,30-05-2020,"KOLKATA HARIGHOSH
STREET 700006",17,2,Hatibagan,"The affected
flat/the
standalone house",13
71,30-05-2020,"BATTALA 27 5 1A TARAK
CHATTERJEE LANE
HATKHOLA 700005",18,2,Sovabazar,"The affected
flat/the
standalone house",13
72,30-05-2020,"107/8 ULTODANGA MAIN
RD. B-10,FLAT NO 13,
KOLKATA",14,3,Ultadanga,The flat itself,13
73,30-05-2020,"225 BAGMARI ROAD,
KOLKATA",14,3,Bagmari,"The affected
flat/the
standalone house",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
74,30-05-2020,"51/1 KAKURGACHI ROAD
KOLKATA",30,3,Phoolbagan,"The affected
flat/the
standalone house",13
75,30-05-2020,"40B/H/19 UPENDRA
CHANDRA BANERJEE
ROAD, KOLKATA",30,3,Phoolbagan,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
76,30-05-2020,"PRASAD EXOTICA ,71/3
CANAL CIRCULAR ROAD
BLOCK-VI FLAT-5 E&F
KOLKATA PIN - 700054",31,3,Beliaghata,"The affected
flat/the
standalone house",13
77,30-05-2020,"98/h/32 narkeldanga
main road 700054",31,3,Narkeldanga,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
78,30-05-2020,"BELIAGHATA PS
KOLKATA WEST BENGAL",33,3,Beliaghata,"The affected
flat/the
standalone house",13
79,30-05-2020,"37 BISWAS NURSERY
LANE, BELIAGHATA,
KOLKATA",35,3,Beliaghata,"The affected
flat/the
standalone house",13
80,30-05-2020,"15 KALAKAR STREET
KOLKATA 700024",22,4,Burrabazar,"The affected
flat/the
standalone house",13
81,30-05-2020,"1/1B JAY NARAYAN
CHANDRA Lane P S
MUCHIPARA KOLKATA
700009",49,5,Muchipara,"The affected
flat/the
standalone house",13
82,30-05-2020,"13 A SANTOSH MITRA
SQUARE BOWBAZAR
KOLKATA",50,5,Sealdah,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
83,30-05-2020,"ISMAIL STREET PO PS
ENTALLY ISMAIL STREET
PO PS ENTALLY 700014",54,6,Entally,"The affected
flat/the
standalone house",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
84,30-05-2020,"145, ANANDA PALIT
ROAD P.S- ENTALLY
KOLKATA PIN - 700014",55,6,Entally,"The affected
flat/the
standalone house",13
85,30-05-2020,"3 ORINT 2ND LANE, P.O -
ENTALY, KOLKATA",55,6,Entally,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
86,30-05-2020,"110 ELLIOT ROAD PO PS
PARK STREET WEST
BENGAL",61,6,Park Street,"The affected
flat/the
standalone house",13
87,30-05-2020,"110 ELLIOT ROAD PS
PARK STREET WEST
BENGAL",61,6,Park Street,"The affected
flat/the
standalone house",13
88,30-05-2020,"110 ELLIOT ROAD PO PS
PARK STREET WEST
BENGAL",61,6,Beniapukur,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
89,30-05-2020,"19 GOBINDA CHANDRA
KHATICK ROAD, KOLKATA
700046",58,7,Tangra,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
90,30-05-2020,"12/1, GOBINDA KHATIK
ROAD , TANGRA, 700046",58,7,Tangra,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
91,30-05-2020,"ARUPOTA VILL
ARUPOTA PO DHAPA
700105",58,7,Tangra,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
92,30-05-2020,"109 KARAYA ROAD , P.S-
KARAYA , 700017",64,7,Park Circus,"The affected
flat/the
standalone house",13
93,30-05-2020,30/9 Jhawtala Road,64,7,Entally,The affected flat/the standalone house,13
94,30-05-2020,42 B SHAMSUL HUDA ROAD CIRCUS AVENUE KOLKATA,65,7,Kareya,The affected flat/the standalone house,13
95,30-05-2020,"2 Ganesh Ghosh Lane, Flat 4 C",66,7,Entally,The affected flat/the standalone house,13
96,30-05-2020,347/1 HAZRA ROAD BALLYGUNGE HAZRA ROAD BALLYGUNGE 700019,69,8,Hazra,The affected flat/the standalone house,13
97,30-05-2020,39B BELTALA ROAD DO 700020,69,8,Beltala,Adjacent common passage of affected but including toilet and water source of the slum,13
98,30-05-2020,40 RAM MOY ROAD BHAWANIPUR 700025,72,8,Bhowanipore,The affected flat/the standalone house,13
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
99,30-05-2020,"11/A Dover Terrace, Kol -
19",85,8,,"The affected
flat/the
standalone house",13
100,30-05-2020,"44A TOLLUGUNJE ROAD
P S- TOLLYGUNGE
KOLKATA",88,8,Tollygunge,"The affected
flat/the
standalone house",13
101,30-05-2020,"247 A J C BOSE ROAD,
BHOWANIPUR, KOLKATA",71,9,PTS,"The concerned
building",13
102,30-05-2020,"31, BIJOY BOSE ROAD, PO
+ PS – BHAWANIPUR,
KOLKATA – 700 025.",71,9,Bhowanipore,"The affected
flat/the
standalone house",13
103,30-05-2020,"247 A J C BOSE ROAD PO
PS ALIPUR WEST BENGAL",71,9,PTS,"The concerned
building",13
104,30-05-2020,"247 A J C BOSE ROAD PS
ALIPORE WEST BENGAL",71,9,PTS,"The concerned
building",13
105,30-05-2020,"247 A J C BOSE ROAD PO
ALIPUR PS ALIPUR WEST
BENGAL",71,9,PTS,"The concerned
building",13
106,30-05-2020,"247 A J C BOSE ROAD
PTS PO PS ALIPUR 24
PARAGANAS SOUTH
WEST BENGAL",71,9,PTS,"The concerned
building",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
107,30-05-2020,"247 A J C BOSE ROAD
PTS PO PS ALIPUR WEST
BENGAL",71,9,PTS,"The concerned
building",13
108,30-05-2020,"247 A J C BOSE ROAD PO
ALIPUR PS ALIPUR WEST
BENGAL",71,9,PTS,"The concerned
building",13
109,30-05-2020,"247 A J C BOSE ROAD
PTS PS ALIPUR WEST
BENGAL",71,9,PTS,"The concerned
building",13
110,30-05-2020,"29C HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
111,30-05-2020,"28 HARISH CHATTERJEE
STREET KOLKATA WEST
BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
112,30-05-2020,"28 HARIS CHATTERJEE
STREET KOLKATA WEST
BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
113,30-05-2020,"29C HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
114,30-05-2020,"29C HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
115,30-05-2020,"28B HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
116,30-05-2020,"29C HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
117,30-05-2020,"29C HARISH
CHATTERJEE STREET
KOLKATA WEST BENGAL",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
118,30-05-2020,"178 A BLOCK CHEC
KOLKATA",74,9,Alipore,"The affected
flat/the
standalone house",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
119,30-05-2020,"BSA PERSONAL LINE
ALIPORE WEST BENGAL
KOLKATA-700027",74,9,Alipore,"The affected
flat/the
standalone house",13
120,30-05-2020,"92 B ALIPORE ROAD
KOLKATA",74,9,Chetla,"The affected
flat/the
standalone house",13
121,30-05-2020,"17/22 ORPHANGANJ
KHIDDERPORE 700023",74,9,Alipore,"The affected
flat/the
standalone house",13
122,30-05-2020,"34/3 orphan gunj road
700023",74,9,Alipore,"The affected
flat/the
standalone house",13
123,30-05-2020,"49/3 Kavi Tirtha Sarani
WATGUNGE, ALIPORE,
KOLKATA",76,9,Khidderpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
124,30-05-2020,"10 F NAZIR LANE
WATGANJ KOLKATA
700002",76,9,Khidderpore,"The affected
flat/the
standalone house",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
125,30-05-2020,"6/H/3 IBRAHIM RD
EKBALPUR 700023",77,9,Ekbalpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
126,30-05-2020,"49/5/H/142 KARL MARX
SARANI 700023",79,9,Khidderpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
127,30-05-2020,"PEARY MOHAN ROAD
CHETLA, KOLKATA",82,9,Chetla,"The affected
flat/the
standalone house",13
128,30-05-2020,"36 2 PRINCE GULAM MD
ROAD PO INDRANI PARK
PS JADAVPUR WEST
BENGAL",94,10,Jadavpur,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
129,30-05-2020,"MERIN RESIDENCY FLAT-
5A BLOCK- TUDOR 26
PRINCE ANWAR SHAH
ROAD TOLLYGUNGE
CIRCUS AVENUE 700033
Actual Address: Parijat
Apartment, Flat 3B, 3rd
Floor, 87/A Sarat Bose
Road, Kolkata 26",69,8,Tollygunge,"The affected
flat/the
standalone house",13
130,30-05-2020,"4/47H Bijoygarh, Kol - 32",96,10,Jadavpur,,13
131,30-05-2020,"P-30 GARIA PARK
KOLKATA 700002",110,11,Garia P.O,"The affected
flat/the
standalone house",13
132,30-05-2020,"3/4/1 Vivekananda Park
Bansdroni",113,11,Bansdroni,"The affected
flat/the
standalone house",13
133,30-05-2020,"GANGULY BAGAN 394
ASHOKE ROAD FLOOR
1ST GANGULY BAGAN
JADAVPUR 700084",101,12,Jadavpur,"The affected
flat/the
standalone house",13
134,30-05-2020,"3/76 E, MAHENDRA
BANERJEE ROAD,
PARNASHREE, KOLKATA –
700 060.",129,14,"Rabindra
Nagar","The affected
flat/the
standalone house",13
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
135,30-05-2020,"Y 287 B KHALDHARI
ROAD, BARTALA,
KOLKATA",140,15,Metiabruz,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",13
136,30-05-2020,"Z/3/373, NASKAR PARA
LAKE, P.O. – BADARTALA,
KOLKATA- 700 044.",141,15,,"The affected
flat/the
standalone house",13
137,30-05-2020,"99/7 D H ROAD SAKHER
BAZAR THAKURPUKUR
700008",123,16,Thakurpukur,"The affected
flat/the
standalone house",13
138,30-05-2020,"56/2D Ho Chi Minh
sarani, kolkata - 08",126,16,Sarsuna,"The affected
flat/the
standalone house",13
139,31-05-2020,"BT LINES 29/1 B T Road
KOLKATA",1,1,Chiriamore,"The affected
flat/the
standalone house",12
140,31-05-2020,"35/1/2 SANKAR HALDER
LANE JORABAGAN
700005",19,2,Sovabazar,"The affected
flat/the
standalone house",12
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
141,31-05-2020,"2/13 Sir Gurudas Road,
Kol - 11",30,3,Phoolbagan,"The affected
flat/the
standalone house",12
142,31-05-2020,"224/A MANICKTALA
MAIN ROAD, P.S.
MANICKTALA , 700054",30,3,Kankurgachi,"The affected
flat/the
standalone house",12
143,31-05-2020,"16 RAMKANTA SEN LANE,
Murari Pukur, Ultadanga,
Kolkata, West Bengal
700067",32,3,Ultadanga,"The affected
flat/the
standalone house",12
144,31-05-2020,"44 B Chaul Patty ROAD
BELIAGHATA BELEGHATA,
KOLKATA",33,3,Belighata,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
145,31-05-2020,IDBG QRTR KOLKATA,33,3,Beliaghata,"The affected
flat/the
standalone house",12
146,31-05-2020,"IDBG QRTR KOLKATA
8617780738",33,3,Beliaghata,"The affected
flat/the
standalone house",12
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
147,31-05-2020,"IDBG QRTR KOLKATA
8617780738",33,3,Beliaghata,"The affected
flat/the
standalone house",12
148,31-05-2020,"IDBG QRTR KOLKATA
8910305686",33,3,Beliaghata,"The affected
flat/the
standalone house",12
149,31-05-2020,"BELEGHATA MANIKARAN
APT MULICK LANE FLAT
NO 7WF 3B, BELEGHATA",33,3,Belighata,"The affected
flat/the
standalone house",12
150,31-05-2020,"35Y Radha Madhav
Dutta Garden LANE ,
700010",33,3,Beliaghata,"The affected
flat/the
standalone house",12
151,31-05-2020,"PO GIRISH PARK PS
GIRISH PARK, 11
BHUBHAN BANERJEE
LANE, PIN 700006",25,4,Girish Park,"The affected
flat/the
standalone house",12
152,31-05-2020,31 A W C Banerjee Street,26,4,Girish Park,"The affected
flat/the
standalone house",12
153,31-05-2020,"180A C R AVENUE 2ND
FLOOR, P.S - JORASANKO,
700007",39,4,"Mahajati
Sadan","The affected
flat/the
standalone house",12
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
154,31-05-2020,"180 A CHITTARANJAN
AVENUE PS-JORASANKO
, 700007",39,4,"Mahajati
Sadan","The affected
flat/the
standalone house",12
155,31-05-2020,"154 baithakkhana road
miuchipara 700009",49,5,Muchipara,"The affected
flat/the
standalone house",12
156,31-05-2020,"15 1D SIR SYED AHMED
ROAD, KALKATA",54,6,Entally,"The affected
flat/the
standalone house",12
157,31-05-2020,"7/H/35 Kamardanga, Kol -
46",56,7,Ananda Palit,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
158,31-05-2020,"44 H 8 DEBENDRA
CHANDRA DEY ROAD,
TANGRA, KOLKATA",57,7,Tangra,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
159,31-05-2020,"11 GOBINDA KHATICK
ROAD,KOLKATA",56,7,Tangra,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
160,31-05-2020,"P 258 DARGA ROAD
PARK CIRCUS KOLKATA
KOLKATA",64,7,Park Circus,"The affected
flat/the
standalone house",12
161,31-05-2020,"13 TILJALA ROAD
KOLKATA 700039",66,7,Tiljala,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
162,31-05-2020,"13 monohar pukur 2nd
700029",85,8,Lansdowne,"The affected
flat/the
standalone house",12
163,31-05-2020,"247 AJC BOSE ROAD
PTS KOLKATA",71,9,PTS,"The concerned
building",12
164,31-05-2020,"247 AJC BOSE ROAD
PTS KOLKATA",71,9,PTS,"The concerned
building",12
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
165,31-05-2020,"247 AJC BOSE ROAD
PTS KOLKATA",71,9,PTS,"The concerned
building",12
166,31-05-2020,"40, NANDAN
ROAD,BHAWANIPORE ,
700025",71,9,PTS,"The concerned
building",12
167,31-05-2020,"STAFF QUARTER IOP COE
DL KHAN ROAD
BHAWANIPORE, KOL-25",71,9,PTS,"The concerned
building",12
168,31-05-2020,"26 C HARISH CHATTARJEE
STREET, KALIGHAT
KOLKATA",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",12
